% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, elapsed wallclock time [s], further/more values", seed=315580, Wed Mar 11 01:42:41 2026, <python>{}</python>
1 32 0.3462425153647179 1.0000466677555726 29.545509981636428 2.9545509981636428e+01 2089.7069317110945 2557.8667329362906 1955.4982397126776 239.16135331546076 nan 4.1   
2 64 0.36149596898036274 1.257062688651796 29.545509981636428 3.1705713386923197e+01 208.49743272849256 2472.0542404961006 1271.8990813627724 91.13140076674257 nan 9.1   
3 96 0.37401207491258537 1.359934309462387 29.545509981636428 3.4278052307953487e+01 208.0069843998522 2297.054846111022 398.03835343866615 108.00323254859788 nan 14.3   
11 352 0.3822671260252329 1.7129023697500037 -3.2378811809137646 6.1036950676870365e+00 244.46863470207967 2311.9230569388023 1052.4056102074987 101.52445255046803 nan 60.4   
21 672 0.3017352516859881 2.0510477555302793 -39.02346915515634 -2.5632664265240614e+01 131.03211658317596 2336.8365180335995 374.8500964693947 13.811224985477946 nan 119.4   
31 992 0.2693302985790999 2.988696088873934 -41.280866537477706 -2.2809599116395521e+01 14.520921176451797 2171.2516593106966 645.8179641003804 1.7610962871614015 nan 189.7   
41 1312 0.26132578964036135 3.871925054501364 -87.87472762002703 -2.1660417979051942e+01 -2.811482663091855 2069.0733379812627 26.545769448262668 -8.793549313825181 nan 275.9   
51 1632 0.2354079767982958 4.74245922732641 -87.87472762002703 -8.4217864580249739e+01 -6.706094313392423 1028.2152486318398 14.44420863541178 -11.221130906097189 nan 360.2   
61 1952 0.2853597566046134 6.3928574493479235 -87.87472762002703 -8.3136602640406139e+01 -5.304582351800269 2169.9223897377306 22.028124112163592 -13.2432159131911 nan 451.9   
71 2272 0.2248745592756639 7.494912401268574 -87.87472762002703 -4.7416261737382477e+01 -8.707547379062731 607.4689737622809 15.966743657225274 -16.21659429285687 nan 550.7   
81 2592 0.2280940113352864 8.880354629601069 -87.87472762002703 -5.5347232991648504e+01 -8.776374417680138 132.07015993923204 21.286007747851347 -19.775315544573438 nan 643.6   
91 2912 0.21126049848003806 10.195416659476603 -87.87472762002703 -7.6460099229221584e+01 -5.3274215360863275 22.598326501541003 18.07017712863587 -18.43468629807824 nan 735.3   
