% # columns="iteration, evaluation, void, void, void, xmean", seed=467878, Sat Apr  4 01:43:29 2026, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 32 0 0 0 0.5901308722990644 0.9852574432121683 0.6931344118027277 0.4093815395296547 0.1316629464709121 0.10510615971206891 0.20110993968113106 0.9383608175688073 0.3679645346478105 0.5980385635680634 0.10522960336318374 1.0580329731646385 0.7497555643010275 0.18579788315781826 0.2593863986048873
2 64 0 0 0 0.4940847837975214 1.1029996708508811 0.6134312819907234 0.27638370499278575 0.12277366344644208 0.0897405013628571 0.44991541662467677 1.0176359653112528 0.32096938244109186 0.40573357006113 0.01086052946539086 1.1306796894897497 0.7119192815663647 0.08589230531718238 0.05361285805328553
3 96 0 0 0 0.557434837043942 0.8939278603070364 0.5962494100230018 0.2690007993611025 0.08106779435936085 0.025661998370688395 0.6284847582760124 1.1335344921816852 0.28295127523936114 0.2253613925386418 0.10136198821053513 1.1604823860949995 0.5748609637607388 0.07261019543085837 0.04542491859681765
11 352 0 0 0 0.2871669705644153 0.36159073740638004 -0.23948668813051077 0.1669661999577453 0.44805223195514887 -0.6733205044848242 0.27250338486418435 0.7121847645443621 0.3936443509893954 0.08688281470377628 0.3841427221201281 2.0413607946647807 0.48409336925122465 0.2699331484943442 0.19765676869938115
21 672 0 0 0 0.25632046020770194 -0.007080097038348408 -0.10267038880109934 -0.1655906021894505 0.1642750377630448 -0.4145112377054049 0.17787847005106605 1.395303334563187 0.33286945850271965 0.29139918731306214 0.3510685802621178 2.0016693486983015 0.13421347261709607 -0.21208429863487904 0.2556053851789749
31 992 0 0 0 0.014562598582373977 -0.03524891254437401 -0.0667576073783243 -0.1325599947420301 0.16854985095354924 -0.3373548029721433 -0.159350872949957 1.4047260527348127 0.19826587257067588 0.37989202899822216 0.7402700807530882 2.206038958423535 0.03844724756858007 -0.3653767311032468 0.24950887177523196
41 1312 0 0 0 -0.1576802224103671 -0.13042148961097572 -0.2777516455296883 0.07868798716954323 0.5901084083792097 -0.3330206832072738 -0.301277539425904 1.5032267696327637 0.4783505257294898 0.23805508821075375 0.34548231478398167 2.3968830276409823 -0.2574160008949857 -0.21824821438091213 0.6647647112401169
51 1632 0 0 0 0.2284809712658116 -0.16701959118363302 -0.3342965053859859 0.13237122865415143 0.003666440345066754 -0.1582656805864863 -0.7405908803024077 1.502304198788739 0.294989741473171 -0.06474089290624692 -0.06700502822820657 2.814783987725639 -0.1486879553723886 -0.28675660258976826 0.9561558931267164
61 1952 0 0 0 0.3291284768161781 -0.006593276814698652 -0.30558767937943737 0.18623234409982345 0.14347415396660906 -0.3035226836291023 -0.23305774690407244 1.3901325258520663 0.3621009297301053 -0.03357204235839155 -0.011103718810099356 2.341501240296269 -0.19647382271567795 -0.8128822801314556 1.0395476537639576
71 2272 0 0 0 0.30195140326797626 -0.03861456985155709 -0.31279831294961224 0.13578602788688468 0.015316652625790133 -0.307401358101532 0.056682457707868804 1.4094836772837536 0.25661986350417765 -0.12594889269728704 0.013525952142090536 2.1054495910132927 -0.04046137458757277 -1.0432844652483466 1.1194185365776297
