wallMount,,,
CMA-ES,2,"0.3548,0.3867","1,0"
SAC,2,"0.3593,0.376","1,0"
,,,
,,,
,,,
container,,,
CMA-ES,2,"0.0972,0.5034","2,1"
SAC,2,"0.1179,0.5151","2,1"
,,,
,,,
,,,
sideToSide,,,
CMA-ES,3,"0.3544,0.0895,0.055","0,0,0"
SAC,2,"0.4129,0.058","0,0"
PPO,2,"0.42030126,0.05","0,0"
,,,
,,,
shelf,,,
CMA-ES,4,"1.1971,0.8574,0.4089,1.0618","1,1,2,1"
SAC,2,"0.1947,0.4212","0,1"
PPO,2,"0.4333333,0.05","1,1"
,,,
,,,
outreach,,,
CMA-ES,4,"0.5778,0.2475,0.2198,0.0571","1,0,0,0"
SAC,2,"0.3645,0.3355","1,0"
PPO,2,"0.05,0.27123675","1,3"
