model_name,n_links,success_rate,avg_pos_error,avg_rot_error,avg_path_length,avg_energy,avg_manipulability,task,num_runs
CMA-ES,3,100.0,0.009712649809323258,0.030685117570776833,1.0050896624811947,31.31011524199154,0.0,sideToSide,100
Baseline_FANUC,6,0.0,0.0021977498179189432,0.3747943769548067,inf,inf,0.17069372420670248,sideToSide,100
Baseline_PANDA,7,100.0,0.0017693095966540779,0.4131370947627893,2.3309261637717555,4669.097988353012,0.15686715190266767,sideToSide,100
PPO,2,100.0,0.029347457218985847,0.02577817448873221,0.9874304622582772,23.498110624619923,0.0,sideToSide,100
SAC,2,100.0,0.02835000677930694,0.02639973194691957,0.9886768417822558,23.494310472843818,0.0,sideToSide,100
