model_name,n_links,success_rate,avg_pos_error,avg_rot_error,avg_path_length,avg_energy,avg_manipulability,task,num_runs
CMA-ES,2,3.5000000000000004,0.08498329919712112,0.41955568952751826,1.5406868103682012,31.395636260978062,0.0,container,100
Baseline_FANUC,6,0.0,0.03209109533075871,0.47408561753420986,inf,inf,0.1846375556036468,container,100
Baseline_PANDA,7,55.00000000000001,0.001248150811412314,0.31233192519796465,2.054766187183222,36898.64635138357,0.22430225212740043,container,100
SAC,2,21.5,0.08572678196510175,0.4332449705573281,1.599691130523691,31.87388250109798,0.0,container,100
PPO,7,0.0,0.03870607250389445,0.2787141824420487,inf,inf,4.840612229710046e-17,container,100
