model_name,n_links,success_rate,avg_pos_error,avg_rot_error,avg_path_length,avg_energy,avg_manipulability,task,num_runs
CMA-ES,4,74.5,0.047873239239047634,0.7509846404631966,4.024989604523946,265.16477337771977,0.0,shelf,100
Baseline_FANUC,6,0.0,0.06386413465414112,0.6593091476523211,inf,inf,0.17097166553854262,shelf,100
Baseline_PANDA,7,100.0,0.001573682947723692,0.3324068780981753,2.828169254898538,10718.81725149857,0.19785767395777015,shelf,100
PPO,2,0.0,0.22956853539242794,0.11296643999650685,inf,inf,0.0,shelf,100
SAC,2,5.0,0.11313356770354524,0.5858117030393575,0.8401467793469605,100.3585270269287,0.0,shelf,100
