model_name,n_links,success_rate,avg_pos_error,avg_rot_error,avg_path_length,avg_energy,avg_manipulability,task,num_runs
CMA-ES,2,50.0,0.0766767597424167,1.0975082770953861,1.8698565973476968,46.40172587184204,0.0,wallMount,100
Baseline_FANUC,6,0.0,0.0703465986056833,1.5941869718704462,inf,inf,0.11630520904416246,wallMount,100
Baseline_PANDA,7,37.0,0.02379465097012089,1.76709575033459,3.0562004026990572,257456.70893232868,0.18895020984057379,wallMount,100
SAC,2,50.0,0.07723171182532382,1.0957931899138689,1.8268705455274472,37.288559862277765,0.0,wallMount,100
