model_name,n_links,success_rate,avg_pos_error,avg_rot_error,avg_path_length,avg_energy,avg_manipulability,task,num_runs
CMA-ES,4,100.0,0.010717360389227958,0.04181521496076677,0.5536782867764266,46.288731242198224,0.0,outreach,100
Baseline_FANUC,6,0.0,0.0027117472001519584,0.40626863960889237,inf,inf,0.14353592405321808,outreach,100
Baseline_PANDA,7,100.0,0.001086487184031782,0.35987621265572967,2.072280697873501,337.1275599523614,0.219625189412423,outreach,100
PPO,2,0.0,0.2204453026433079,0.03106651040187983,inf,inf,0.0,outreach,100
SAC,2,92.0,0.05015121751125598,1.379626414496566,0.5210383771395616,24.217853828767623,0.0,outreach,100
